0.125	0.5	0.585208
0.25	0.5	0.681842
0.375	0.5	0.76782
0.5	0.5	0.841803
0.625	0.5	0.902638
0.75	0.5	0.949377
0.875	0.5	0.981292
1	0.5	0.997885
1.125	0.5	0.998899
1.25	0.5	0.984319
1.375	0.5	0.954372
1.5	0.5	0.909527
1.625	0.5	0.850485
1.75	0.5	0.778166
1.875	0.5	0.6937
2	0.5	0.598405
2.125	0.5	0.493769
2.25	0.5	0.381424
2.375	0.5	0.263124
2.5	0.5	0.140716
2.625	0.5	0.0161087
2.75	0.5	-0.108752
2.875	0.5	-0.231918
3	0.5	-0.351467
3.125	0.5	-0.465534
3.25	0.5	-0.572338
3.375	0.5	-0.670213
3.5	0.5	-0.75763
3.625	0.5	-0.833226
3.75	0.5	-0.895821
3.875	0.5	-0.944437
4	0.5	-0.978315
4.125	0.5	-0.996926
4.25	0.5	-0.999978
4.375	0.5	-0.987423
4.5	0.5	-0.959453
4.625	0.5	-0.916503
4.75	0.5	-0.859241
4.875	0.5	-0.788554
5	0.5	-0.70554
0	0.625	0.585097
0.125	0.625	0.681765
0.25	0.625	0.767774
0.375	0.625	0.841783
0.5	0.625	0.902639
0.625	0.625	0.949395
0.75	0.625	0.981324
0.875	0.625	0.997927
1	0.625	0.998947
1.125	0.625	0.98437
1.25	0.625	0.954424
1.375	0.625	0.909577
1.5	0.625	0.850529
1.625	0.625	0.778202
1.75	0.625	0.693727
1.875	0.625	0.598421
2	0.625	0.493772
2.125	0.625	0.381414
2.25	0.625	0.2631
2.375	0.625	0.140676
2.5	0.625	0.0160537
2.625	0.625	-0.108822
2.75	0.625	-0.232003
2.875	0.625	-0.351567
3	0.625	-0.465647
3.125	0.625	-0.572463
3.25	0.625	-0.670349
3.375	0.625	-0.757776
3.5	0.625	-0.833381
3.625	0.625	-0.895982
3.75	0.625	-0.944603
3.875	0.625	-0.978484
4	0.625	-0.997097
4.125	0.625	-1.00015
4.25	0.625	-0.987593
4.375	0.625	-0.959623
4.5	0.625	-0.916672
4.625	0.625	-0.85941
4.75	0.625	-0.788726
4.875	0.625	-0.70572
5	0.625	-0.611682
0	0.75	0.681639
0.125	0.75	0.767681
0.25	0.75	0.841719
0.375	0.75	0.902601
0.5	0.75	0.949379
0.625	0.75	0.981325
0.75	0.75	0.997942
0.875	0.75	0.998973
1	0.75	0.984403
1.125	0.75	0.954461
1.25	0.75	0.909615
1.375	0.75	0.850566
1.5	0.75	0.778236
1.625	0.75	0.693755
1.75	0.75	0.598441
1.875	0.75	0.493783
2	0.75	0.381414
2.125	0.75	0.263088
2.25	0.75	0.140652
2.375	0.75	0.0160164
2.5	0.75	-0.108873
2.625	0.75	-0.232067
2.75	0.75	-0.351644
2.875	0.75	-0.465737
3	0.75	-0.572565
3.125	0.75	-0.670462
3.25	0.75	-0.757899
3.375	0.75	-0.833513
3.5	0.75	-0.896122
3.625	0.75	-0.944749
3.75	0.75	-0.978636
3.875	0.75	-0.997252
4	0.75	-1.00031
4.125	0.75	-0.987754
4.25	0.75	-0.959785
4.375	0.75	-0.916836
4.5	0.75	-0.859576
4.625	0.75	-0.788897
4.75	0.75	-0.705897
4.875	0.75	-0.61187
5	0.75	-0.508279
0	0.875	0.767544
0.125	0.875	0.841615
0.25	0.875	0.902526
0.375	0.875	0.949328
0.5	0.875	0.981295
0.625	0.875	0.99793
0.75	0.875	0.998975
